"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 01 21:13:10 GMT 2023","Mon May 01 21:13:17 GMT 2023","6795","","portio.PortioTest","","portio.PortioTest","profileUpdateTest_AsLoggedInUser_ProfileIsUpdated","Update profile information",""
"passed","Mon May 01 21:13:17 GMT 2023","Mon May 01 21:13:21 GMT 2023","3979","","portio.PortioTest","","portio.PortioTest","profileDeletionTest_AsLoggedInUser_AccountIsDeleted","Delete account",""
"passed","Mon May 01 21:12:52 GMT 2023","Mon May 01 21:12:56 GMT 2023","4443","","portio.PortioTest","","portio.PortioTest","loginTest_AsNewlyRegisteredUser_Pass","Login as newly registered user",""
"passed","Mon May 01 21:12:39 GMT 2023","Mon May 01 21:12:47 GMT 2023","7559","","portio.PortioTest","","portio.PortioTest","termsAndConditionsTest_AsNewUser_Pass","Accepting terms and conditions as a new user",""
"passed","Mon May 01 21:13:21 GMT 2023","Mon May 01 21:13:45 GMT 2023","23801","","portio.PortioTest","","portio.PortioTest","blogTest_AsLoggedInUser_AllBlogArticlesAreDisplayed","All blog articles are displayed",""
"passed","Mon May 01 21:13:08 GMT 2023","Mon May 01 21:13:10 GMT 2023","2254","","portio.PortioTest","","portio.PortioTest","logoTest_AsLoggedInUser_LogoIsAccordingToTheExpected","Logo is according to the expected",""
"passed","Mon May 01 21:12:49 GMT 2023","Mon May 01 21:12:52 GMT 2023","2878","","portio.PortioTest","","portio.PortioTest","registrationTest_ValidCredentials_Pass","Registration with valid credentials",""
"passed","Mon May 01 21:12:56 GMT 2023","Mon May 01 21:12:59 GMT 2023","2534","","portio.PortioTest","","portio.PortioTest","loginTest_MultipleTimesWithValidCredentials_Pass","Login multiple times",""
"passed","Mon May 01 21:13:05 GMT 2023","Mon May 01 21:13:08 GMT 2023","3026","","portio.PortioTest","","portio.PortioTest","logoTest_AsLoggedInUser_LogoIsDisplayed","Validating logo display",""
"passed","Mon May 01 21:12:47 GMT 2023","Mon May 01 21:12:49 GMT 2023","2500","","portio.PortioTest","","portio.PortioTest","loginTest_ValidCredentials_Pass","Login with default username and password",""
"passed","Mon May 01 21:13:02 GMT 2023","Mon May 01 21:13:05 GMT 2023","2556","","portio.PortioTest","","portio.PortioTest","imageDownloadTest_AsLoggedInUser_ImageIsDownloaded","Save image as logged in user",""
"passed","Mon May 01 21:12:59 GMT 2023","Mon May 01 21:13:02 GMT 2023","3185","","portio.PortioTest","","portio.PortioTest","logoutTest_AsLoggedInUser_Pass","Logout as a logged in user",""
