"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 00:23:40 GMT 2023","Tue May 02 00:23:54 GMT 2023","13241","","portio.PortioTest","","portio.PortioTest","termsAndConditionsTest_AsNewUser_Pass","Accepting terms and conditions as a new user",""
"passed","Tue May 02 00:24:23 GMT 2023","Tue May 02 00:24:26 GMT 2023","3634","","portio.PortioTest","","portio.PortioTest","profileDeletionTest_AsLoggedInUser_AccountIsDeleted","Delete account",""
"passed","Tue May 02 00:24:09 GMT 2023","Tue May 02 00:24:11 GMT 2023","2347","","portio.PortioTest","","portio.PortioTest","imageDownloadTest_AsLoggedInUser_ImageIsDownloaded","Save image as logged in user",""
"passed","Tue May 02 00:24:06 GMT 2023","Tue May 02 00:24:09 GMT 2023","3060","","portio.PortioTest","","portio.PortioTest","logoutTest_AsLoggedInUser_Pass","Logout as a logged in user",""
"passed","Tue May 02 00:24:26 GMT 2023","Tue May 02 00:24:50 GMT 2023","23476","","portio.PortioTest","","portio.PortioTest","blogTest_AsLoggedInUser_AllBlogArticlesAreDisplayed","All blog articles are displayed",""
"passed","Tue May 02 00:23:56 GMT 2023","Tue May 02 00:24:01 GMT 2023","4294","","portio.PortioTest","","portio.PortioTest","loginTest_AsNewlyRegisteredUser_Pass","Login as newly registered user",""
"passed","Tue May 02 00:24:01 GMT 2023","Tue May 02 00:24:03 GMT 2023","2410","","portio.PortioTest","","portio.PortioTest","loginTest_MultipleTimesWithValidCredentials_Pass","Login multiple times",""
"passed","Tue May 02 00:24:16 GMT 2023","Tue May 02 00:24:23 GMT 2023","6541","","portio.PortioTest","","portio.PortioTest","profileUpdateTest_AsLoggedInUser_ProfileIsUpdated","Update profile information",""
"passed","Tue May 02 00:24:14 GMT 2023","Tue May 02 00:24:16 GMT 2023","2022","","portio.PortioTest","","portio.PortioTest","logoTest_AsLoggedInUser_LogoIsAccordingToTheExpected","Verification of logo image",""
"passed","Tue May 02 00:24:11 GMT 2023","Tue May 02 00:24:14 GMT 2023","2931","","portio.PortioTest","","portio.PortioTest","logoTest_AsLoggedInUser_LogoIsDisplayed","Verification of logo display",""
"passed","Tue May 02 00:24:03 GMT 2023","Tue May 02 00:24:06 GMT 2023","2778","","portio.PortioTest","","portio.PortioTest","registrationTest_ValidCredentials_Pass","Registration with valid credentials",""
"passed","Tue May 02 00:23:54 GMT 2023","Tue May 02 00:23:56 GMT 2023","2722","","portio.PortioTest","","portio.PortioTest","loginTest_ValidCredentials_Pass","Login with default username and password",""
