"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 06:20:47 GMT 2023","Wed Apr 19 06:20:52 GMT 2023","4634","","portio.PortioTest","","portio.PortioTest","loginTest_AsNewlyRegisteredUser_Pass","loginTest_AsNewlyRegisteredUser_Pass()",""
"passed","Wed Apr 19 06:20:40 GMT 2023","Wed Apr 19 06:20:47 GMT 2023","7262","","portio.PortioTest","","portio.PortioTest","loginTest_ValidCredentials_Pass","loginTest_ValidCredentials_Pass()",""
"passed","Wed Apr 19 06:20:52 GMT 2023","Wed Apr 19 06:20:55 GMT 2023","3027","","portio.PortioTest","","portio.PortioTest","registrationTest_ValidCredentials_Pass","registrationTest_ValidCredentials_Pass()",""
